#---it-------t---------dt-------urms-------umax-------epsK-------orms--------oum-------rhom--------fum--------TT2m--------Rmesh---
   7300     12.734  1.68E-03  1.722E-01  9.490E-01  1.474E-01  1.960E+00  1.170E-01  3.578E+01 -2.222E-03  2.53313E+01  1.411E+01
   7400     12.906  1.71E-03  1.721E-01  8.066E-01  1.474E-01  1.959E+00  1.168E-01  3.578E+01 -4.391E-03  2.53204E+01  1.379E+01
   7500     13.074  1.70E-03  1.724E-01  8.349E-01  1.482E-01  1.961E+00  1.179E-01  3.578E+01 -5.823E-03  2.53001E+01  1.392E+01
   7600     13.244  1.69E-03  1.725E-01  7.518E-01  1.481E-01  1.961E+00  1.175E-01  3.578E+01 -7.227E-03  2.52754E+01  1.403E+01
   7700     13.411  1.70E-03  1.730E-01  8.374E-01  1.486E-01  1.964E+00  1.188E-01  3.578E+01 -8.292E-03  2.52476E+01  1.391E+01
   7800     13.580  1.63E-03  1.731E-01  7.339E-01  1.488E-01  1.967E+00  1.193E-01  3.578E+01 -7.915E-03  2.52255E+01  1.447E+01
   7900     13.754  1.78E-03  1.743E-01  7.989E-01  1.494E-01  1.973E+00  1.205E-01  3.578E+01 -7.579E-03  2.52243E+01  1.330E+01
   8000     13.918  1.78E-03  1.739E-01  7.066E-01  1.491E-01  1.972E+00  1.206E-01  3.578E+01 -6.691E-03  2.52293E+01  1.331E+01
   8100     14.090  1.70E-03  1.741E-01  8.056E-01  1.498E-01  1.976E+00  1.219E-01  3.578E+01 -5.816E-03  2.52385E+01  1.391E+01
   8200     14.264  1.73E-03  1.736E-01  7.652E-01  1.495E-01  1.973E+00  1.196E-01  3.578E+01 -4.893E-03  2.52561E+01  1.369E+01
   8300     14.436  1.71E-03  1.737E-01  7.522E-01  1.496E-01  1.973E+00  1.197E-01  3.577E+01 -3.977E-03  2.52733E+01  1.379E+01
